# T[s],valid,enu_e[m],enu_n[m],enu_u[m]
15.002,1,2,-15,347
15.102,1,0,-10,354
15.201,1,2,-12,357
15.301,1,0,-8,368
15.401,1,2,-13,363
15.501,1,0,-6,382
15.601,1,2,-16,369
15.701,1,0,-9,388
15.802,1,2,-18,376
15.900,1,1,-11,395
16.001,1,3,-16,385
16.101,1,1,-14,402
16.202,1,3,-15,396
16.301,1,0,-17,409
16.400,1,4,-15,406
16.502,1,2,-15,419
16.601,1,5,-11,418
16.701,1,3,-13,431
16.802,1,4,-15,425
16.902,1,4,-14,440
17.000,1,5,-17,435
17.102,1,4,-15,452
17.201,1,6,-14,448
17.301,1,5,-14,464
17.401,1,6,-17,460
17.501,1,6,-15,474
17.602,1,6,-18,470
17.702,1,7,-15,485
17.802,1,6,-20,480
17.901,1,8,-15,498
18.001,1,6,-18,492
18.101,1,8,-16,508
18.201,1,6,-18,503
18.302,1,7,-17,517
18.401,1,6,-20,515
18.500,1,9,-17,528
18.603,1,9,-21,525
18.701,1,10,-17,541
18.801,1,9,-21,540
18.902,1,11,-15,555
19.001,1,9,-24,551
19.100,1,12,-15,568
19.200,1,12,-19,570
19.306,1,13,-15,580
19.401,1,13,-16,583
19.501,1,13,-18,590
19.601,1,13,-17,595
19.701,1,13,-19,603
19.801,1,13,-20,616
19.901,1,14,-19,619
20.001,1,14,-21,626
20.101,1,16,-19,636
20.301,1,15,-18,642
20.401,1,15,-21,646
20.501,1,16,-17,659
20.601,1,17,-19,674
20.701,1,16,-19,674
20.807,1,18,-19,690
20.901,1,17,-23,686
21.002,1,19,-19,705
21.101,1,19,-25,699
21.302,1,20,-18,720
21.406,1,18,-24,715
21.501,1,20,-16,734
21.601,1,21,-20,744
21.700,1,21,-26,745
21.804,1,20,-20,759
21.901,1,21,-30,760
22.100,1,21,-23,773
22.201,1,22,-29,774
22.301,1,23,-23,788
22.401,1,23,-24,805
22.501,1,24,-28,807
22.602,1,25,-23,822
22.701,1,27,-25,827
22.801,1,26,-23,839
22.901,1,27,-26,843
23.003,1,27,-23,853
23.101,1,27,-27,857
23.301,1,26,-23,869
23.402,1,26,-23,886
23.500,1,28,-29,889
23.602,1,28,-24,904
23.702,1,28,-29,904
23.901,1,29,-31,921
24.100,1,28,-23,942
24.204,1,30,-31,937
24.301,1,29,-27,955
24.401,1,31,-30,952
24.502,1,32,-28,972
24.601,1,33,-29,969
24.701,1,33,-28,991
24.801,1,34,-30,988
24.902,1,33,-29,1010
25.001,1,35,-30,1005
25.101,1,35,-30,1028
25.202,1,36,-28,1025
25.301,1,36,-28,1048
25.401,1,37,-27,1067
25.501,1,38,-29,1064
25.602,1,39,-25,1087
25.702,1,38,-33,1081
25.801,1,40,-26,1105
25.900,1,40,-32,1101
26.001,1,41,-28,1125
26.102,1,40,-29,1123
26.304,1,42,-29,1146
26.404,1,40,-33,1138
26.500,1,42,-30,1165
26.601,1,43,-31,1183
26.701,1,44,-32,1180
26.801,1,44,-32,1204
26.902,1,45,-34,1195
27.002,1,46,-32,1225
27.101,1,47,-32,1218
27.301,1,48,-34,1247
27.401,1,47,-32,1240
27.502,1,49,-33,1270
27.602,1,49,-26,1265
27.701,1,51,-33,1290
27.801,1,52,-33,1312
27.901,1,50,-29,1306
28.001,1,53,-33,1332
28.101,1,51,-33,1325
28.307,1,53,-34,1353
28.401,1,52,-34,1347
28.501,1,54,-34,1373
28.602,1,55,-36,1370
28.701,1,56,-34,1396
28.805,1,57,-35,1418
28.902,1,55,-37,1416
29.002,1,59,-35,1441
29.101,1,56,-39,1436
29.301,1,59,-33,1468
29.402,1,59,-40,1460
29.501,1,61,-34,1488
29.607,1,61,-37,1512
29.701,1,60,-42,1508
29.900,1,62,-38,1535
30.002,1,63,-39,1556
30.100,1,62,-42,1558
30.301,1,64,-39,1581
30.402,1,65,-40,1604
30.501,1,66,-39,1606
30.605,1,67,-41,1630
30.700,1,67,-41,1630
30.801,1,68,-40,1657
30.901,1,68,-42,1656
31.001,1,69,-40,1682
31.101,1,70,-43,1681
31.306,1,70,-43,1704
31.403,1,71,-48,1703
31.500,1,71,-45,1730
31.601,1,73,-43,1760
31.702,1,75,-50,1754
