# T[s],v10_state,v16_state,v35_state,v6_state,v7_state
0.202,1,2,1,1,2
0.303,1,2,1,1,2
0.403,1,2,1,1,2
0.505,1,2,1,1,2
0.606,1,2,1,1,2
0.705,1,2,1,1,2
0.806,1,2,1,1,2
0.903,1,2,1,1,2
1.003,1,2,1,1,2
1.104,1,2,1,1,2
1.203,1,2,1,1,2
1.302,1,2,1,1,2
1.402,1,2,1,1,2
1.503,1,2,1,1,2
1.602,1,2,1,1,2
1.710,1,2,1,1,2
1.804,1,2,1,1,2
1.902,1,2,1,1,2
2.003,1,2,1,1,2
2.103,1,2,1,1,2
2.202,1,2,1,1,2
2.303,1,2,1,1,2
2.404,1,2,1,1,2
2.503,1,2,1,1,2
2.604,1,2,1,1,2
2.702,1,2,1,1,2
2.802,1,2,1,1,2
2.901,1,2,1,1,2
3.003,1,2,1,1,2
3.102,1,2,1,1,2
3.207,1,2,1,1,2
3.303,1,2,1,1,2
3.402,1,2,1,1,2
3.503,1,2,1,1,2
3.603,1,2,1,1,2
3.702,1,2,1,1,2
3.803,1,2,1,1,2
3.903,1,2,1,1,2
4.003,1,2,1,1,2
4.103,1,2,1,1,2
4.209,1,2,1,1,2
4.303,1,2,1,1,2
4.402,1,2,1,1,2
4.508,1,2,1,1,2
4.603,1,2,1,1,2
4.702,1,2,1,1,2
4.803,1,2,1,1,2
4.902,1,2,1,1,2
5.004,1,2,1,1,2
5.104,1,2,1,1,2
5.203,1,2,1,1,2
5.303,1,2,1,1,2
5.403,1,2,1,1,2
5.502,1,2,1,1,2
5.602,1,2,1,1,2
5.703,1,2,1,1,2
5.803,1,2,1,1,2
5.902,1,2,1,1,2
6.003,1,2,1,1,2
6.102,1,2,1,1,2
6.202,1,2,1,1,2
6.302,1,2,1,1,2
6.402,1,2,1,1,2
6.502,1,2,1,1,2
6.603,1,2,1,1,2
6.702,1,2,1,1,2
6.804,1,2,1,1,2
6.904,1,2,1,1,2
7.002,1,2,1,1,2
7.102,1,2,1,1,2
7.202,1,2,1,1,2
7.303,1,2,1,1,2
7.404,1,2,1,1,2
7.502,1,2,1,1,2
7.602,1,2,1,1,2
7.703,1,2,1,1,2
7.803,1,2,1,1,2
7.903,1,2,1,1,2
8.003,1,2,1,1,2
8.107,1,2,1,1,2
8.202,1,2,1,1,2
8.302,1,2,1,1,2
8.403,1,2,1,1,2
8.503,1,2,1,1,2
8.603,1,2,1,1,2
8.703,1,2,1,1,2
8.804,1,2,1,1,2
8.903,1,2,1,1,2
9.003,1,2,1,1,2
9.103,1,2,1,1,2
9.203,1,2,1,1,2
9.302,1,2,1,1,2
9.402,1,2,1,1,2
9.502,1,2,1,1,2
9.603,1,2,1,1,2
9.703,1,2,1,1,2
9.802,1,2,1,1,2
9.903,1,2,1,1,2
10.002,1,2,1,1,2
10.103,1,2,1,1,2
10.203,1,2,1,1,2
10.303,1,2,1,1,2
10.402,1,2,1,1,2
10.503,1,2,1,1,2
10.603,1,2,1,1,2
10.703,1,2,1,1,2
10.803,1,2,1,1,2
10.903,1,2,1,1,2
11.003,1,2,1,1,2
11.104,1,2,1,1,2
11.202,1,2,1,1,2
11.302,1,2,1,1,2
11.403,1,2,1,1,2
11.503,1,2,1,1,2
11.603,1,2,1,1,2
11.703,1,2,1,1,2
11.804,1,2,1,1,2
11.904,1,2,1,1,2
12.003,1,2,1,1,2
12.103,1,2,1,1,2
12.205,1,2,1,1,2
12.303,1,2,1,1,2
12.404,1,2,1,1,2
12.502,1,2,1,1,2
12.603,1,2,1,1,2
12.703,1,2,1,1,2
12.803,1,2,1,1,2
12.902,1,2,1,1,2
13.002,1,2,1,1,2
13.103,1,2,1,1,2
13.202,1,2,1,1,2
13.304,1,2,1,1,2
13.403,1,2,1,1,2
13.503,1,2,1,1,2
13.604,1,2,1,1,2
13.703,1,2,1,1,2
13.803,1,2,1,1,2
13.902,1,2,1,1,2
14.003,1,2,1,1,2
14.103,1,2,1,1,2
14.202,1,2,1,1,2
14.302,1,2,1,1,2
14.403,1,2,1,1,2
14.503,1,2,1,1,2
14.603,1,2,1,1,2
14.704,1,2,1,1,2
14.803,1,2,1,1,2
14.903,1,2,1,1,2
15.003,1,2,1,1,2
15.103,1,2,1,1,2
15.203,1,2,1,1,2
15.303,1,2,1,1,2
15.404,1,2,1,1,2
15.502,1,2,1,1,2
15.603,1,2,1,1,2
15.703,1,2,1,1,2
15.803,1,2,1,1,2
15.903,1,2,1,1,2
16.003,1,2,1,1,2
16.102,1,2,1,1,2
16.207,1,2,1,1,2
16.303,1,2,1,1,2
16.403,1,2,1,1,2
16.503,1,2,1,1,2
16.603,1,2,1,1,2
16.703,1,2,1,1,2
16.804,1,2,1,1,2
16.904,1,2,1,1,2
17.003,1,2,1,1,2
17.103,1,2,1,1,2
17.203,1,2,1,1,2
17.303,1,2,1,1,2
17.404,1,2,1,1,2
17.502,1,2,1,1,2
17.603,1,2,1,1,2
17.703,1,2,1,1,2
17.804,1,2,1,1,2
17.903,1,2,1,1,2
18.004,1,2,1,1,2
18.104,1,2,1,1,2
18.203,1,2,1,1,2
18.303,1,2,1,1,2
18.403,1,2,1,1,2
18.504,1,2,1,1,2
18.603,1,2,1,1,2
18.703,1,2,1,1,2
18.805,1,2,1,1,2
18.903,1,2,1,1,2
19.005,1,2,1,1,2
19.104,1,2,1,1,2
19.203,1,2,1,1,2
19.308,1,2,1,1,2
19.403,1,2,1,1,2
19.503,1,2,1,1,2
19.603,1,2,1,1,2
19.703,1,2,1,1,2
19.804,1,2,1,1,2
19.902,1,2,1,1,2
20.004,1,2,1,1,2
20.103,1,2,1,1,2
20.202,1,2,1,1,2
20.303,1,2,1,1,2
20.404,1,2,1,1,2
20.502,1,2,1,1,2
20.604,1,2,1,1,2
20.705,1,2,1,1,2
20.809,1,2,1,1,2
20.904,1,2,1,1,2
21.003,1,2,1,1,2
21.103,1,2,1,1,2
21.202,1,2,1,1,2
21.303,1,2,1,1,2
21.408,1,2,1,1,2
21.503,1,2,1,1,2
21.603,1,2,1,1,2
21.702,1,2,1,1,2
21.805,1,2,1,1,2
21.903,1,2,1,1,2
