# T[s],vavle_state,power_a[A],power_v[V]
21.602,2,-0.08,16.62
21.702,2,-0.06,16.60
21.804,2,-0.04,16.60
21.902,2,-0.06,16.62
22.102,2,-0.06,16.61
22.202,2,-0.06,16.60
22.302,2,-0.04,16.61
22.402,2,-0.02,16.60
22.503,2,-0.08,16.62
22.602,2,-0.04,16.61
22.702,2,-0.08,16.62
22.803,2,-0.06,16.62
22.902,2,-0.04,16.61
23.003,2,-0.04,16.62
23.102,2,-0.06,16.62
23.202,2,-0.06,16.61
23.303,2,-0.06,16.62
23.402,2,-0.04,16.61
23.502,2,-0.06,16.62
23.602,2,-0.04,16.61
23.702,2,-0.06,16.61
23.902,2,-0.02,16.62
24.103,2,-0.02,16.61
24.206,2,-0.02,16.61
24.303,2,-0.04,16.60
24.402,2,-0.04,16.61
24.502,2,-0.04,16.62
24.604,2,-0.02,16.60
24.703,2,-0.04,16.62
24.802,2,-0.02,16.61
24.902,2,-0.04,16.61
25.003,2,-0.06,16.61
25.103,2,-0.02,16.60
25.203,2,-0.04,16.62
25.303,2,-0.04,16.61
25.402,2,-0.04,16.62
25.502,2,-0.04,16.61
25.602,2,-0.02,16.60
25.702,2,-0.02,16.61
26.002,2,-0.04,16.62
26.102,2,-0.06,16.60
26.202,2,-0.08,16.63
26.306,2,-0.04,16.61
26.405,2,-0.06,16.61
26.503,2,-0.06,16.60
26.603,2,-0.04,16.61
26.702,2,-0.04,16.60
26.803,2,-0.08,16.62
26.902,2,-0.02,16.60
27.003,2,-0.08,16.62
27.103,2,-0.06,16.61
27.202,2,-0.06,16.62
27.302,2,-0.06,16.61
27.402,2,-0.06,16.61
27.503,2,-0.04,16.62
27.604,2,-0.06,16.62
27.703,2,-0.06,16.64
27.902,2,-0.10,16.63
28.004,2,-0.06,16.61
28.103,2,-0.10,16.62
28.203,2,-0.10,16.62
28.309,2,-0.08,16.62
28.503,2,-0.08,16.63
28.604,2,-0.10,16.62
28.703,2,-0.04,16.62
28.903,2,-0.08,16.62
29.102,2,-0.06,16.62
29.203,2,-0.08,16.62
29.303,2,-0.08,16.61
