T[s],fix,unixtime[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],sat[n],hdop
7.404,1,1501399869,-3783459,2804065,4287294,0,0,0,11,1.1
7.599,1,1501399869,-3783462,2804068,4287296,0,0,0,11,1.1
7.800,1,1501399869,-3783464,2804070,4287300,0,0,0,11,1.1
8.000,1,1501399869,-3783467,2804072,4287301,0,0,0,11,1.1
8.208,1,1501399869,-3783469,2804073,4287305,0,0,0,11,1.1
8.402,1,1501399870,-3783472,2804075,4287309,0,0,0,11,1.1
8.600,1,1501399870,-3783475,2804078,4287312,0,0,0,11,1.1
8.801,1,1501399870,-3783478,2804080,4287317,0,0,0,11,1.1
9.001,1,1501399870,-3783481,2804081,4287319,0,0,0,11,1.1
9.209,1,1501399870,-3783483,2804083,4287319,0,0,0,11,1.1
9.400,1,1501399871,-3783487,2804086,4287321,0,0,0,11,1.1
9.600,1,1501399871,-3783489,2804088,4287325,0,0,0,11,1.1
9.800,1,1501399871,-3783492,2804089,4287329,0,0,0,11,1.1
10.001,1,1501399871,-3783496,2804091,4287333,0,0,0,11,1.1
10.209,1,1501399871,-3783499,2804095,4287332,0,0,0,11,1.1
10.402,1,1501399872,-3783502,2804098,4287337,0,0,0,11,1.1
10.600,1,1501399872,-3783504,2804100,4287340,0,0,0,11,1.1
10.800,1,1501399872,-3783509,2804103,4287346,0,0,0,11,1.1
11.000,1,1501399872,-3783513,2804106,4287351,0,0,0,11,1.1
11.209,1,1501399872,-3783518,2804112,4287356,0,0,0,11,1.1
11.401,1,1501399873,-3783521,2804113,4287359,0,0,0,11,1.1
11.600,1,1501399873,-3783524,2804115,4287362,0,0,0,11,1.1
11.801,1,1501399873,-3783529,2804118,4287365,0,0,0,11,1.1
12.002,1,1501399873,-3783532,2804121,4287367,0,0,0,11,1.1
12.210,1,1501399873,-3783537,2804123,4287374,0,0,0,11,1.1
12.401,1,1501399874,-3783542,2804126,4287380,0,0,0,11,1.1
12.600,1,1501399874,-3783546,2804130,4287384,0,0,0,11,1.1
12.801,1,1501399874,-3783550,2804133,4287388,0,0,0,11,1.1
13.001,1,1501399874,-3783554,2804135,4287393,0,0,0,11,1.1
13.209,1,1501399874,-3783560,2804139,4287397,0,0,0,11,1.1
13.404,1,1501399875,-3783565,2804143,4287406,0,0,0,11,1.1
13.601,1,1501399875,-3783569,2804145,4287411,0,0,0,11,1.1
13.801,1,1501399875,-3783574,2804151,4287415,0,0,0,11,1.1
14.000,1,1501399875,-3783579,2804155,4287420,0,0,0,11,1.1
14.211,1,1501399875,-3783585,2804160,4287424,0,0,0,11,1.1
14.404,1,1501399876,-3783590,2804164,4287430,0,0,0,11,1.1
14.602,1,1501399876,-3783596,2804167,4287437,0,0,0,11,1.1
14.801,1,1501399876,-3783601,2804171,4287446,0,0,0,11,1.1
15.001,1,1501399876,-3783608,2804175,4287454,0,0,0,11,1.1
15.210,1,1501399876,-3783615,2804181,4287464,0,0,0,11,1.1
15.401,1,1501399877,-3783622,2804186,4287475,0,0,0,11,1.1
15.601,1,1501399877,-3783628,2804189,4287477,0,0,0,11,1.1
15.802,1,1501399877,-3783634,2804192,4287480,0,0,0,11,1.1
16.001,1,1501399877,-3783640,2804196,4287483,0,0,0,11,1.1
16.218,1,1501399877,-3783645,2804201,4287486,0,0,0,10,1.3
16.405,1,1501399878,-3783651,2804203,4287494,0,0,0,10,1.3
16.601,1,1501399878,-3783658,2804207,4287503,0,0,0,10,1.3
16.801,1,1501399878,-3783664,2804210,4287509,0,0,0,10,1.3
17.000,1,1501399878,-3783672,2804216,4287516,0,0,0,10,1.3
17.210,1,1501399878,-3783679,2804220,4287525,0,0,0,11,1.1
17.401,1,1501399879,-3783686,2804224,4287531,0,0,0,11,1.1
17.602,1,1501399879,-3783693,2804228,4287538,0,0,0,11,1.1
17.802,1,1501399879,-3783701,2804233,4287547,-35,23,37,11,1.1
18.001,1,1501399879,-3783708,2804238,4287553,-36,23,38,11,1.1
18.209,1,1501399879,-3783713,2804243,4287559,-36,23,38,11,1.1
18.405,1,1501399880,-3783721,2804247,4287566,-37,24,39,11,1.1
18.601,1,1501399880,-3783729,2804251,4287575,-38,24,39,11,1.1
18.801,1,1501399880,-3783737,2804256,4287586,-38,25,40,11,1.1
19.000,1,1501399880,-3783745,2804261,4287594,-39,25,40,11,1.1
19.208,1,1501399880,-3783753,2804265,4287602,-39,25,41,11,1.1
19.401,1,1501399881,-3783760,2804271,4287607,-40,26,42,11,1.1
19.599,1,1501399881,-3783768,2804277,4287615,-41,26,42,11,1.1
19.798,1,1501399881,-3783777,2804283,4287623,-41,26,43,11,1.1
19.999,1,1501399881,-3783784,2804287,4287629,-42,27,43,11,1.1
20.208,1,1501399881,-3783793,2804292,4287642,-42,27,44,11,1.1
20.399,1,1501399882,-3783803,2804298,4287654,-43,27,45,11,1.1
