# T[s],barometer[Pa],temp[C]
21.054,93860,30.4
21.156,93779,30.4
21.254,93694,30.4
21.355,93605,30.4
21.455,93556,30.4
21.555,93466,30.4
21.655,93377,30.4
21.756,93293,30.4
21.856,93208,30.4
21.955,93148,30.4
22.055,93105,30.4
22.156,93021,30.4
22.255,92933,30.4
22.354,92837,30.4
22.454,92709,30.4
22.555,92648,30.4
22.657,92556,30.4
22.755,92466,30.4
22.856,92375,30.4
22.961,92287,30.4
23.056,92214,30.4
23.156,92122,30.4
23.255,92027,30.4
23.356,91933,30.4
23.455,91842,30.4
23.556,91783,30.4
23.656,91683,30.4
23.758,91585,30.4
23.855,91486,30.4
23.955,91390,30.4
24.056,91327,30.4
24.156,91223,30.4
24.254,91126,30.4
24.455,90931,30.4
24.555,90865,30.4
24.655,90759,30.4
24.755,90657,30.4
24.855,90557,30.4
24.955,90454,30.4
25.055,90385,30.4
25.161,90283,30.4
25.255,90177,30.4
25.359,90071,30.4
25.456,89960,30.4
25.554,89858,30.4
25.655,89787,30.4
25.755,89679,30.4
25.855,89571,30.4
25.955,89466,30.3
26.056,89351,30.4
26.154,89285,30.4
26.255,89168,30.3
26.355,89054,30.4
26.456,88948,30.3
26.555,88839,30.4
26.658,88762,30.3
26.755,88649,30.3
26.856,88537,30.3
26.955,88422,30.3
27.055,88313,30.3
27.156,88244,30.3
27.255,88128,30.3
27.354,88013,30.3
27.456,87896,30.3
27.555,87758,30.3
27.655,87685,30.3
27.755,87570,30.3
27.855,87449,30.3
27.956,87334,30.3
28.056,87217,30.3
28.155,87129,30.3
28.255,87020,30.3
28.355,86898,30.3
28.456,86782,30.3
28.556,86659,30.3
28.656,86536,30.3
28.755,86459,30.3
28.855,86340,30.3
28.955,86214,30.3
29.057,86090,30.3
29.154,85967,30.3
29.256,85883,30.3
29.355,85757,30.3
29.455,85632,30.3
29.555,85506,30.3
29.655,85380,30.3
29.756,85296,30.3
29.855,85175,30.3
29.955,85047,30.3
30.055,84918,30.3
30.155,84787,30.3
30.256,84712,30.3
30.356,84582,30.3
30.458,84457,30.3
30.555,84327,30.3
30.655,84210,30.3
30.755,84137,30.3
30.856,84012,30.3
30.955,83881,30.3
31.056,83751,30.3
31.156,83621,30.3
31.255,83536,30.3
31.355,83393,30.3
31.455,83266,30.3
31.556,83132,30.3
31.654,82998,30.3
31.756,82854,30.3
31.855,82769,30.3
31.955,82636,30.3
32.257,82226,30.3
32.356,82135,30.3
32.456,81996,30.3
32.555,81862,30.3
32.655,81721,30.3
32.755,81575,30.3
32.855,81480,30.3
33.055,81199,30.3
33.155,81058,30.3
33.257,80911,30.3
33.355,80814,30.3
33.454,80663,30.3
33.556,80523,30.3
33.656,80381,30.3
33.755,80242,30.3
33.855,80141,30.3
33.955,79990,30.3
34.156,79691,30.3
34.355,79394,30.3
34.455,79289,30.3
34.555,79137,30.3
37.655,74718,30.2
38.155,73954,30.2
38.255,73791,30.2
38.355,73623,30.2
38.455,73469,30.2
38.755,73015,30.2
38.855,72856,30.2
38.955,72690,30.2
39.059,72579,30.2
39.156,72420,30.2
40.856,69649,30.2
40.954,69480,30.2
41.056,69310,30.2
41.155,69194,30.2
41.255,69020,30.2
41.355,68845,30.2
43.756,65031,30.1
