T[s],fix,unixtime[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],sat[n],hdop
5.002,1,1501399866,-3783441,2804049,4287274,0,0,0,12,1.0
5.218,1,1501399866,-3783444,2804051,4287276,0,0,0,13,1.0
5.405,1,1501399867,-3783446,2804053,4287278,0,0,0,13,1.0
5.603,1,1501399867,-3783447,2804054,4287277,0,0,0,13,1.0
5.805,1,1501399867,-3783447,2804054,4287279,0,0,0,13,1.0
6.005,1,1501399867,-3783450,2804056,4287280,0,0,0,13,1.0
6.220,1,1501399867,-3783452,2804058,4287283,0,0,0,13,1.0
6.407,1,1501399868,-3783454,2804059,4287286,0,0,0,13,1.0
6.604,1,1501399868,-3783456,2804061,4287287,0,0,0,13,1.0
6.804,1,1501399868,-3783457,2804063,4287287,0,0,0,13,1.0
7.003,1,1501399868,-3783460,2804065,4287293,0,0,0,13,1.0
7.217,1,1501399868,-3783462,2804065,4287293,0,0,0,13,1.0
7.404,1,1501399869,-3783465,2804067,4287296,0,0,0,13,1.0
7.603,1,1501399869,-3783468,2804069,4287299,0,0,0,13,1.0
7.805,1,1501399869,-3783471,2804072,4287303,0,0,0,13,1.0
8.004,1,1501399869,-3783473,2804073,4287303,0,0,0,13,1.0
8.218,1,1501399869,-3783476,2804077,4287306,0,0,0,13,1.0
8.404,1,1501399870,-3783478,2804077,4287309,0,0,0,13,1.0
8.604,1,1501399870,-3783480,2804078,4287312,0,0,0,13,1.0
8.805,1,1501399870,-3783482,2804082,4287314,0,0,0,13,1.0
9.005,1,1501399870,-3783487,2804084,4287319,0,0,0,13,1.0
9.218,1,1501399870,-3783489,2804086,4287323,0,0,0,13,1.0
9.404,1,1501399871,-3783492,2804087,4287324,0,0,0,13,1.0
9.603,1,1501399871,-3783496,2804091,4287327,0,0,0,13,1.0
9.801,1,1501399871,-3783499,2804093,4287327,0,0,0,13,1.0
10.005,1,1501399871,-3783502,2804096,4287331,0,0,0,13,1.0
10.217,1,1501399871,-3783506,2804097,4287335,0,0,0,13,1.0
10.404,1,1501399872,-3783509,2804100,4287339,0,0,0,13,1.0
10.604,1,1501399872,-3783514,2804104,4287344,0,0,0,13,1.0
10.805,1,1501399872,-3783516,2804106,4287347,0,0,0,13,1.0
11.004,1,1501399872,-3783520,2804110,4287350,0,0,0,13,1.0
11.218,1,1501399872,-3783524,2804115,4287351,-19,15,19,13,1.0
11.401,1,1501399873,-3783528,2804116,4287357,0,0,0,13,1.0
11.601,1,1501399873,-3783531,2804119,4287362,0,0,0,13,1.0
11.801,1,1501399873,-3783535,2804123,4287367,0,0,0,13,1.0
12.001,1,1501399873,-3783538,2804123,4287372,0,0,0,13,1.0
12.216,1,1501399873,-3783542,2804127,4287374,0,0,0,13,1.0
12.404,1,1501399874,-3783547,2804129,4287379,0,0,0,13,1.0
