# T[s],IIP_lat[deg],IIP_lng[deg]
34.101,42.504654,143.461304
34.302,42.504677,143.461411
34.403,42.504658,143.461349
34.503,42.504662,143.461472
34.606,42.504681,143.461533
38.302,42.504612,143.463074
38.402,42.504574,143.463104
38.502,42.504555,143.463181
38.903,42.504555,143.463531
39.101,42.504585,143.463730
41.102,42.504349,143.464569
41.305,42.504410,143.464691
41.401,42.504349,143.464630
41.602,42.504318,143.464767
41.702,42.503990,143.464706
45.005,42.503380,143.467087
