# T[s],q2
-31.836,0.00216117
-31.825,0.00217000
-31.815,0.00216971
-31.804,0.00217024
-31.795,0.00216887
-31.786,0.00216854
-31.776,0.00217514
-31.765,0.00217549
-31.756,0.00216546
-31.746,0.00215685
-31.735,0.00215720
-31.724,0.00216332
-31.715,0.00216134
-31.706,0.00216173
-31.695,0.00216243
-31.686,0.00216695
-31.676,0.00217180
-31.666,0.00216916
-31.655,0.00216875
-31.646,0.00216657
-31.635,0.00216817
-31.626,0.00216641
-31.614,0.00216706
-31.605,0.00217063
-31.596,0.00217403
-31.585,0.00217075
-31.575,0.00216931
-31.565,0.00217471
-31.555,0.00218128
-31.546,0.00218296
-31.534,0.00217724
-31.522,0.00217822
-31.512,0.00218047
-31.506,0.00217809
-31.495,0.00217855
-31.485,0.00217758
-31.475,0.00218077
-31.464,0.00218629
-31.456,0.00218939
-31.446,0.00219070
-31.436,0.00218996
-31.426,0.00218830
-31.416,0.00219538
-31.406,0.00220205
-31.395,0.00219854
-31.386,0.00220361
-31.375,0.00220399
-31.364,0.00220338
-31.356,0.00220768
-31.346,0.00221161
-31.335,0.00221393
-31.326,0.00221679
-31.316,0.00221807
-31.306,0.00221919
-31.295,0.00222160
-31.286,0.00222169
-31.276,0.00222041
-31.266,0.00222149
-31.255,0.00222428
-31.245,0.00222396
-31.236,0.00222686
-31.225,0.00221862
-31.215,0.00221552
-31.206,0.00221024
-31.194,0.00221188
-31.184,0.00220985
-31.176,0.00220517
-31.165,0.00220668
-31.155,0.00221191
-31.145,0.00221376
-31.135,0.00221676
-31.126,0.00221468
-31.116,0.00220572
-31.106,0.00220424
-31.095,0.00220903
-31.086,0.00221008
-31.076,0.00221285
-31.065,0.00221597
-31.055,0.00221278
-31.046,0.00220858
-31.034,0.00220313
-31.026,0.00220054
-31.016,0.00219508
-31.006,0.00219621
-30.996,0.00219165
-30.986,0.00219585
-30.975,0.00219815
-30.965,0.00219637
-30.955,0.00220218
-30.945,0.00219987
-30.935,0.00219301
-30.926,0.00219366
-30.916,0.00219464
-30.906,0.00219591
-30.895,0.00219590
-30.886,0.00219388
-30.875,0.00218999
-30.865,0.00218790
-30.855,0.00218825
-30.846,0.00219169
-30.834,0.00219222
-30.826,0.00219099
-30.815,0.00218961
-30.805,0.00219040
-30.795,0.00218270
-30.785,0.00218621
-30.774,0.00218505
-30.766,0.00218798
-30.755,0.00218813
-30.746,0.00218267
-30.735,0.00218608
-30.725,0.00218202
-30.715,0.00218360
-30.705,0.00218021
-30.694,0.00218260
-30.686,0.00218112
-30.676,0.00217788
-30.666,0.00218183
-30.655,0.00218606
-30.645,0.00218521
-30.636,0.00218655
-30.625,0.00218761
-30.615,0.00218731
-30.606,0.00219306
-30.594,0.00219106
-30.585,0.00219476
-30.576,0.00219851
-30.566,0.00219522
-30.556,0.00219012
-30.546,0.00219003
-30.531,0.00218497
-30.520,0.00218775
-30.511,0.00218579
-30.505,0.00218765
-30.495,0.00219005
-30.484,0.00218986
-30.476,0.00219402
-30.465,0.00219696
-30.456,0.00220099
-30.446,0.00220068
-30.435,0.00220536
-30.426,0.00220133
-30.414,0.00220416
-30.406,0.00220578
-30.396,0.00220475
-30.385,0.00220382
-30.375,0.00220643
-30.365,0.00220792
-30.355,0.00220502
-30.346,0.00221002
-30.336,0.00221784
-30.326,0.00222006
