# T[s],wx[dps],wy[dps],wz[dps]
11.836,0.068,0.250,-0.156
11.936,0.092,0.331,-0.057
12.040,0.099,0.303,0.029
12.135,0.125,0.272,0.246
12.237,0.067,0.243,0.284
12.336,0.141,0.304,0.544
12.436,0.117,0.127,1.345
12.536,0.228,0.314,1.849
12.637,0.099,0.151,1.115
12.735,0.084,0.256,-0.023
12.836,0.145,0.218,-0.061
12.935,0.031,0.430,0.202
13.037,-0.017,0.276,0.671
13.136,0.048,0.479,1.645
13.236,0.075,0.322,2.410
13.335,-0.129,0.382,1.414
13.437,0.113,0.662,0.172
13.537,-0.066,0.496,0.289
13.636,-0.008,0.459,0.931
13.736,-0.133,0.762,1.914
13.836,-0.087,0.458,2.666
13.936,-0.057,0.658,2.794
14.035,-0.071,0.659,3.447
14.141,-0.081,0.700,5.982
14.236,-0.099,0.566,8.234
14.336,-0.097,0.604,9.477
14.436,-0.119,0.619,12.504
14.536,-0.056,0.602,15.898
14.637,0.028,0.662,19.703
14.736,0.008,0.590,23.727
14.837,0.149,0.516,27.734
14.937,0.198,0.433,31.727
15.036,0.196,0.287,35.047
15.136,0.259,0.138,38.109
15.242,0.247,-0.032,40.828
15.337,0.230,-0.137,43.219
15.436,0.148,-0.395,45.312
15.536,0.011,-0.609,47.172
15.636,-0.017,-0.510,48.766
15.736,-0.221,-0.545,50.422
15.837,-0.202,-0.538,51.938
15.937,-0.266,-0.740,52.969
16.035,-0.322,-0.515,53.969
16.136,-0.276,-0.528,55.141
16.238,-0.241,-0.448,56.375
16.337,-0.112,-0.209,57.797
16.437,-0.112,-0.430,59.406
16.535,0.291,-0.164,61.250
16.642,0.232,-0.128,63.500
16.736,0.458,-0.119,65.438
16.836,0.515,0.009,67.062
16.941,0.473,-0.186,68.188
17.039,0.476,-0.011,69.406
17.135,0.482,0.008,70.406
17.235,0.407,-0.023,71.125
17.336,0.349,-0.083,71.531
17.436,0.330,-0.070,71.781
17.538,0.178,-0.077,72.062
17.640,0.312,0.116,72.406
17.735,0.230,-0.008,72.969
17.835,0.290,0.115,73.469
17.936,0.371,-0.112,74.219
18.036,0.378,0.081,75.469
18.136,0.451,0.105,74.281
18.237,0.487,0.244,71.656
18.335,0.565,0.243,68.969
18.435,0.572,0.348,66.125
18.535,0.662,0.337,63.641
18.635,0.711,0.283,60.922
18.736,0.695,0.270,58.312
18.836,0.749,0.410,56.000
18.936,0.572,0.170,53.531
19.037,0.611,0.381,51.328
19.136,0.580,0.195,49.344
19.236,0.514,0.441,47.359
19.336,0.348,0.297,45.234
19.435,0.448,0.353,43.266
19.539,0.242,0.393,41.281
19.641,0.247,0.341,39.500
19.735,0.091,0.318,37.672
19.837,0.009,0.429,35.719
19.935,0.008,0.280,33.797
20.036,-0.113,0.337,31.781
20.135,-0.054,0.353,29.562
20.241,-0.180,0.288,27.633
20.336,-0.033,0.248,25.719
20.435,-0.111,0.194,24.078
20.536,-0.049,0.324,22.703
20.639,-0.124,0.207,21.586
20.740,-0.139,0.228,20.484
20.836,-0.103,0.318,19.445
20.935,-0.157,0.103,18.523
21.036,-0.132,0.242,17.648
21.136,-0.103,0.188,17.039
21.236,-0.108,0.359,16.586
21.337,-0.258,0.114,16.320
21.436,-0.189,0.243,16.125
21.535,-0.233,0.175,16.133
21.635,-0.266,0.178,16.047
21.736,-0.361,0.097,16.094
