# T[s],T4[C],T5[C]
15.168,96.1,63.6
15.268,96.0,63.6
15.367,96.0,63.6
15.467,95.8,63.4
15.567,95.6,63.4
15.667,95.5,63.2
15.768,95.5,63.2
15.868,95.5,63.2
15.968,95.5,63.2
16.067,95.7,63.0
16.167,95.7,63.4
16.268,95.8,63.4
16.367,96.0,63.6
16.466,96.0,63.8
16.568,95.7,64.0
16.667,95.7,64.0
16.767,95.7,64.0
16.869,95.7,64.0
16.967,95.5,63.8
17.067,95.5,64.0
17.167,95.6,63.9
17.267,95.6,64.1
17.367,95.4,64.1
17.470,95.3,64.3
17.568,95.5,64.5
17.668,95.5,64.6
17.768,95.8,64.8
17.869,95.8,65.4
17.967,95.8,65.4
18.069,95.7,65.5
18.167,95.7,65.6
18.267,95.9,65.6
18.368,95.9,65.6
18.469,96.0,65.8
18.567,96.0,65.8
18.667,96.1,65.8
18.768,96.1,66.0
18.867,96.1,66.0
18.967,96.1,66.0
19.067,96.1,66.0
19.167,96.1,66.0
19.269,96.0,66.0
19.370,96.0,65.8
19.468,96.0,66.0
19.568,95.9,66.0
19.667,95.9,66.2
19.767,95.9,66.2
19.867,95.9,66.4
19.968,95.9,66.6
20.067,96.1,66.8
20.168,96.1,66.9
20.268,96.1,66.9
20.367,96.1,66.8
20.467,96.1,66.6
20.568,96.1,66.8
20.667,96.1,67.0
20.766,96.1,67.1
20.870,96.1,67.1
20.967,95.9,67.1
21.067,95.9,67.1
21.167,95.9,67.3
21.268,95.9,67.3
21.368,96.1,67.5
21.468,96.1,67.5
21.568,96.1,67.3
21.667,96.3,67.3
21.767,96.3,67.5
21.870,96.3,67.6
21.968,96.3,67.8
22.068,96.3,67.8
22.168,96.5,68.3
22.269,96.6,68.5
22.367,96.6,68.6
22.469,96.6,68.8
22.568,96.6,69.1
22.668,96.8,69.1
22.768,96.8,69.1
22.867,96.8,69.3
22.968,96.8,69.2
23.067,96.8,69.2
23.168,96.8,69.3
23.268,96.6,69.3
23.367,96.8,69.5
23.467,96.8,69.5
23.567,96.8,69.4
23.667,96.8,69.4
23.771,96.8,69.5
23.867,96.8,69.6
23.968,96.8,69.6
24.067,96.9,69.6
24.167,96.9,69.8
24.368,96.8,69.8
24.467,96.8,69.8
24.568,96.8,69.8
24.667,97.0,69.8
24.767,97.0,69.8
24.867,97.0,70.0
24.968,97.0,69.8
25.068,97.0,70.0
25.172,97.2,70.0
25.271,97.2,70.0
25.372,97.2,69.8
25.467,97.2,69.8
25.568,97.0,69.8
25.668,97.0,69.8
25.766,97.0,70.0
25.867,97.0,70.0
25.967,97.0,70.0
26.067,97.0,70.1
26.167,97.0,70.1
26.268,97.0,70.3
26.368,97.0,70.5
26.468,97.0,70.5
26.568,97.0,70.7
26.675,97.0,71.1
26.767,97.2,71.3
26.868,97.2,71.5
26.968,97.2,71.3
27.067,97.2,71.3
27.168,97.2,71.3
27.268,97.2,71.3
27.368,97.2,71.1
27.468,97.0,70.9
27.567,97.0,71.1
27.668,97.0,71.1
27.769,97.0,71.1
27.867,97.0,70.9
27.968,97.0,70.9
28.068,97.0,70.9
28.168,97.2,70.9
28.269,97.2,70.7
28.368,97.1,70.9
28.467,97.1,70.9
28.569,97.2,70.9
28.667,97.2,71.0
28.769,97.2,71.0
28.868,97.2,70.9
28.969,97.2,70.9
29.074,97.1,70.9
29.169,97.0,70.7
29.269,97.0,70.7
29.368,96.8,70.5
29.468,96.8,70.5
29.568,96.8,70.3
29.667,96.8,70.5
29.768,96.8,70.5
29.868,96.8,70.5
29.968,96.8,70.5
30.068,96.8,70.7
30.169,96.8,70.7
30.267,96.8,70.9
30.368,96.8,70.7
30.467,96.8,70.7
30.668,96.8,70.7
30.769,96.8,70.7
30.868,96.8,70.7
30.967,96.8,70.7
31.068,96.6,70.7
31.167,96.6,70.9
31.268,96.8,70.9
31.369,96.8,70.9
31.467,96.8,70.9
31.567,96.8,70.8
31.669,96.8,70.6
31.769,96.8,70.8
31.869,97.0,70.8
32.169,97.0,71.2
32.273,97.0,71.4
32.368,97.0,71.6
32.468,97.0,71.6
32.568,97.0,71.6
32.669,97.2,71.8
32.867,97.3,71.8
33.068,97.3,71.5
33.168,97.3,71.5
33.269,97.3,71.2
33.367,97.1,71.2
33.467,97.1,71.2
33.567,97.3,71.2
33.668,97.3,71.2
33.767,97.3,71.0
33.869,97.5,71.0
33.967,97.5,71.2
34.168,97.7,71.0
34.268,97.7,71.0
34.368,97.9,71.1
34.467,97.9,71.1
34.567,98.1,71.2
38.168,98.1,72.4
38.271,98.1,72.6
38.367,98.1,72.8
38.467,98.3,72.8
38.767,98.3,72.8
38.869,98.3,72.8
38.967,98.1,72.8
39.069,98.1,72.8
39.168,98.1,72.6
40.867,98.4,72.6
40.967,98.4,72.8
41.070,98.3,72.8
41.169,98.3,72.8
41.268,98.3,72.6
41.368,98.3,72.8
43.768,99.0,73.8
46.367,98.8,74.9
