# T[s],gimbal_a_enable,gimbal_a_target[enc],gimbal_b_enable,gimbal_b_target[enc],gasjet
-33.454,0,0,0,0,0
-33.444,0,0,0,0,0
-33.434,0,0,0,0,0
-33.423,0,0,0,0,0
-33.413,0,0,0,0,0
-33.403,0,0,0,0,0
-33.392,0,0,0,0,0
-33.383,0,0,0,0,0
-33.373,0,0,0,0,0
-33.363,0,0,0,0,0
-33.354,0,0,0,0,0
-33.343,0,0,0,0,0
-33.333,0,0,0,0,0
-33.323,0,0,0,0,0
-33.313,0,0,0,0,0
-33.302,0,0,0,0,0
-33.294,0,0,0,0,0
-33.284,0,0,0,0,0
-33.274,0,0,0,0,0
-33.264,0,0,0,0,0
-33.253,0,0,0,0,0
-33.243,0,0,0,0,0
-33.234,0,0,0,0,0
-33.224,0,0,0,0,0
-33.212,0,0,0,0,0
-33.203,0,0,0,0,0
-33.193,0,0,0,0,0
-33.183,0,0,0,0,0
-33.174,0,0,0,0,0
-33.163,0,0,0,0,0
-33.153,0,0,0,0,0
-33.143,0,0,0,0,0
-33.134,0,0,0,0,0
-33.123,0,0,0,0,0
-33.114,0,0,0,0,0
-33.104,0,0,0,0,0
-33.093,0,0,0,0,0
-33.083,0,0,0,0,0
-33.075,0,0,0,0,0
-33.063,0,0,0,0,0
-33.053,0,0,0,0,0
-33.042,0,0,0,0,0
-33.034,0,0,0,0,0
-33.023,0,0,0,0,0
-33.014,0,0,0,0,0
-33.003,0,0,0,0,0
-32.993,0,0,0,0,0
-32.983,0,0,0,0,0
-32.973,0,0,0,0,0
-32.964,0,0,0,0,0
-32.954,0,0,0,0,0
-32.942,0,0,0,0,0
-32.934,0,0,0,0,0
-32.923,0,0,0,0,0
-32.914,0,0,0,0,0
-32.903,0,0,0,0,0
-32.893,0,0,0,0,0
-32.883,0,0,0,0,0
-32.872,0,0,0,0,0
-32.862,0,0,0,0,0
-32.854,0,0,0,0,0
-32.842,0,0,0,0,0
-32.834,0,0,0,0,0
-32.824,0,0,0,0,0
-32.813,0,0,0,0,0
-32.803,0,0,0,0,0
-32.793,0,0,0,0,0
-32.783,0,0,0,0,0
-32.772,0,0,0,0,0
-32.763,0,0,0,0,0
-32.753,0,0,0,0,0
-32.744,0,0,0,0,0
-32.733,0,0,0,0,0
-32.723,0,0,0,0,0
-32.713,0,0,0,0,0
-32.703,0,0,0,0,0
-32.694,0,0,0,0,0
-32.684,0,0,0,0,0
-32.674,0,0,0,0,0
-32.662,0,0,0,0,0
-32.653,0,0,0,0,0
-32.643,0,0,0,0,0
-32.633,0,0,0,0,0
-32.623,0,0,0,0,0
-32.613,0,0,0,0,0
-32.602,0,0,0,0,0
-32.593,0,0,0,0,0
-32.584,0,0,0,0,0
-32.573,0,0,0,0,0
-32.563,0,0,0,0,0
-32.553,0,0,0,0,0
-32.543,0,0,0,0,0
-32.534,0,0,0,0,0
-32.523,0,0,0,0,0
-32.514,0,0,0,0,0
-32.502,0,0,0,0,0
-32.494,0,0,0,0,0
-32.483,0,0,0,0,0
-32.473,0,0,0,0,0
-32.463,0,0,0,0,0
-32.453,0,0,0,0,0
-32.442,0,0,0,0,0
-32.434,0,0,0,0,0
-32.423,0,0,0,0,0
-32.414,0,0,0,0,0
-32.402,0,0,0,0,0
-32.393,0,0,0,0,0
-32.383,0,0,0,0,0
-32.373,0,0,0,0,0
-32.363,0,0,0,0,0
-32.354,0,0,0,0,0
-32.343,0,0,0,0,0
-32.333,0,0,0,0,0
-32.323,0,0,0,0,0
-32.314,0,0,0,0,0
-32.303,0,0,0,0,0
-32.293,0,0,0,0,0
-32.283,0,0,0,0,0
-32.274,0,0,0,0,0
-32.263,0,0,0,0,0
-32.254,0,0,0,0,0
-32.243,0,0,0,0,0
-32.234,0,0,0,0,0
-32.223,0,0,0,0,0
-32.214,0,0,0,0,0
-32.203,0,0,0,0,0
-32.194,0,0,0,0,0
-32.184,0,0,0,0,0
-32.174,0,0,0,0,0
-32.164,0,0,0,0,0
-32.153,0,0,0,0,0
-32.144,0,0,0,0,0
-32.133,0,0,0,0,0
-32.123,0,0,0,0,0
-32.113,0,0,0,0,0
-32.103,0,0,0,0,0
-32.093,0,0,0,0,0
-32.082,0,0,0,0,0
-32.074,0,0,0,0,0
-32.064,0,0,0,0,0
-32.054,0,0,0,0,0
-32.044,0,0,0,0,0
-32.033,0,0,0,0,0
-32.023,0,0,0,0,0
-32.014,0,0,0,0,0
-32.002,0,0,0,0,0
-31.994,0,0,0,0,0
-31.984,0,0,0,0,0
-31.973,0,0,0,0,0
-31.963,0,0,0,0,0
-31.953,0,0,0,0,0
-31.943,0,0,0,0,0
-31.933,0,0,0,0,0
-31.922,0,0,0,0,0
-31.913,0,0,0,0,0
-31.903,0,0,0,0,0
-31.892,0,0,0,0,0
-31.884,0,0,0,0,0
-31.874,0,0,0,0,0
-31.863,0,0,0,0,0
-31.853,0,0,0,0,0
-31.843,0,0,0,0,0
-31.834,0,0,0,0,0
-31.822,0,0,0,0,0
-31.814,0,0,0,0,0
-31.804,0,0,0,0,0
-31.793,0,0,0,0,0
-31.783,0,0,0,0,0
-31.773,0,0,0,0,0
-31.764,0,0,0,0,0
-31.753,0,0,0,0,0
-31.744,0,0,0,0,0
-31.733,0,0,0,0,0
-31.724,0,0,0,0,0
-31.714,0,0,0,0,0
-31.704,0,0,0,0,0
-31.693,0,0,0,0,0
-31.683,0,0,0,0,0
-31.673,0,0,0,0,0
-31.663,0,0,0,0,0
-31.654,0,0,0,0,0
-31.643,0,0,0,0,0
-31.634,0,0,0,0,0
-31.623,0,0,0,0,0
-31.614,0,0,0,0,0
-31.603,0,0,0,0,0
-31.593,0,0,0,0,0
-31.582,0,0,0,0,0
-31.572,0,0,0,0,0
-31.564,0,0,0,0,0
-31.554,0,0,0,0,0
-31.544,0,0,0,0,0
