# T[s],ax[g],ay[g],az[g]
-2.361,0.001,0.008,0.996
-2.263,-0.001,0.009,1.003
-2.164,0.001,0.009,1.005
-2.065,0.002,0.004,1.003
-1.963,0.001,0.001,0.998
-1.864,0.001,0.006,1.005
-1.764,-0.001,0.006,1.006
-1.663,0.001,0.007,1.007
-1.564,0.001,0.006,0.999
-1.465,0.001,0.004,1.000
-1.364,-0.000,0.009,1.020
-1.263,-0.001,0.006,0.980
-1.164,0.005,0.008,1.033
-1.064,-0.001,0.007,0.992
-0.963,-0.001,0.006,0.994
-0.863,0.001,0.004,1.021
-0.763,-0.001,0.007,0.989
-0.664,-0.000,0.007,1.013
-0.564,0.001,0.002,1.009
-0.464,-0.002,0.009,0.991
-0.364,-0.001,0.001,1.011
-0.265,-0.001,0.011,1.005
-0.163,-0.001,0.006,0.999
-0.064,-0.003,0.005,1.012
0.036,-0.003,0.005,0.990
0.136,-0.000,0.006,1.001
0.236,0.001,0.003,1.022
0.337,-0.001,0.009,0.981
0.437,-0.001,0.004,1.023
0.536,0.001,0.008,0.992
0.636,0.003,0.006,1.009
0.737,-0.002,0.004,1.009
0.836,0.092,0.209,0.382
0.936,0.068,0.227,0.398
1.035,0.099,0.207,0.240
1.137,0.019,0.046,0.224
1.236,0.070,0.062,0.065
1.336,0.057,0.177,0.226
1.436,0.012,0.164,0.147
1.536,0.098,0.171,0.230
1.635,0.128,0.047,0.154
1.736,0.033,0.104,0.158
1.837,0.158,0.117,0.176
1.936,0.003,0.132,0.128
2.036,0.051,0.072,0.168
2.136,0.036,0.059,0.188
2.237,0.057,0.055,0.052
2.337,0.118,-0.011,0.340
2.437,0.097,0.078,0.291
2.537,0.025,0.074,0.114
2.636,0.014,0.048,0.301
2.736,0.022,0.126,0.340
2.835,0.062,0.091,0.398
2.936,0.026,0.113,0.269
3.036,0.076,0.075,0.241
3.137,0.058,0.010,0.247
3.236,0.109,0.084,0.325
3.336,0.027,0.068,0.217
3.437,0.011,0.087,0.309
3.535,0.096,0.063,0.511
3.636,0.035,0.067,0.426
3.736,0.069,0.034,0.433
3.840,0.050,0.032,0.190
3.936,0.073,0.077,0.541
4.037,0.023,0.069,0.458
4.135,0.088,0.092,0.377
4.237,0.039,-0.003,0.272
4.336,0.110,0.061,0.422
4.436,0.004,0.024,0.268
4.536,0.044,0.092,0.492
4.636,0.076,0.067,0.252
4.737,0.115,0.059,0.287
4.836,0.130,0.130,0.542
4.936,0.084,0.068,0.261
5.037,0.044,0.100,0.229
5.136,0.070,0.099,0.485
5.237,0.040,0.131,0.491
5.337,0.054,0.054,0.328
5.436,0.099,0.116,0.366
5.536,0.112,0.046,0.347
5.636,-0.000,0.074,0.137
5.736,0.053,0.061,0.202
5.836,0.043,0.092,0.383
5.937,0.030,0.098,0.327
6.043,0.011,0.151,0.522
6.136,-0.012,0.088,0.312
